,City,Country,Latitude,Longitude,Temperature,Max_Temp,Min_Temp,Humidity,Cloudiness,Windspeed
278,Belaya Gora,RU,68.5333,146.4167,279.23,279.23,279.23,87,100,5.67
279,Pierreville,CA,46.0703,-72.8112,291.75,293.03,289.64,80,15,2.16
280,City of San Pedro,PH,14.35,121.0167,305.14,305.55,300.57,66,72,9.02
281,Meulaboh,ID,4.1363,96.1285,300.72,300.72,300.72,71,100,0.78
282,Anloga,GH,5.7947,0.8973,297.61,297.61,297.61,89,88,5.6
283,Fare,PF,-16.7,-151.0167,299.57,299.57,299.57,70,13,5.48
284,Ossora,RU,59.2353,163.0719,284.8,284.8,284.8,59,94,8.06
285,Andria,IT,41.2306,16.2909,300.23,303.51,299.4,47,60,5.89
286,Nālāgarh,IN,31.05,76.7167,302.47,302.47,302.47,73,53,1.23
287,Darhan,MN,49.4867,105.9228,295.61,295.61,295.61,56,0,3.12
288,Kichera,RU,55.9375,110.0997,286.68,286.68,286.68,96,100,0.93
289,Udachny,RU,66.4167,112.4,293.96,293.96,293.96,31,19,7.13
290,Humboldt,US,40.6665,-123.9178,281.57,282.2,280.45,75,1,1.77
291,Zalari,RU,53.5584,102.5065,298.23,298.23,298.23,53,6,1.53
292,São José da Coroa Grande,BR,-8.8978,-35.1478,295.37,295.37,295.37,90,55,4.51
293,Juneau,US,58.3019,-134.4197,289.99,290.18,289.87,91,90,2.06
294,Kyabé,TD,9.4515,18.9449,295.19,295.19,295.19,94,96,1.18
295,Shimoda,JP,34.6667,138.95,303.76,303.76,302.35,63,2,4.78
296,Trairi,BR,-3.2778,-39.2689,298.35,298.35,298.35,80,77,4.03
297,Sijunjung,ID,-0.6876,100.9537,301.61,301.61,301.61,63,100,0.95
298,Kholodnyy,RU,62.7167,147.95,283.48,283.48,283.48,52,95,6.5
299,Pula,HR,44.8683,13.8481,292.46,296.63,292.46,88,40,3.09
300,Fuerte Olimpo,PY,-21.0415,-57.8738,291.95,291.95,291.95,34,98,1.65
301,Asău,RO,46.4333,26.4,290.62,292.26,289.42,90,80,1.67
302,San Rafael,AR,-34.6177,-68.3301,287.17,287.17,287.17,34,0,3.44
303,‘Āhuimanu,US,21.4447,-157.8378,300.59,302.99,298.4,58,75,6.69
304,Mafra,BR,-26.1114,-49.8053,285.89,285.9,285.89,97,100,1.55
305,Cidreira,BR,-30.1811,-50.2056,288.02,288.02,288.02,95,100,4.34
306,São João da Barra,BR,-21.6403,-41.0511,290.63,290.63,290.63,88,19,4.92
307,Pierre,US,44.3683,-100.351,297.48,297.51,296.08,63,1,1.34
308,Shelburne,CA,44.0787,-80.2041,289.22,292.09,288.1,71,48,1.79
309,Wonthaggi,AU,-38.6044,145.5913,286.75,287.7,285.48,88,100,7.38
310,Husavik,IS,66.0449,-17.3389,284.1,284.1,284.1,88,88,2.21
311,Sakaiminato,JP,35.55,133.2333,306.14,308.11,306.14,66,20,4.63
312,Coyhaique,CL,-45.5752,-72.0662,272.12,272.12,272.12,93,100,1.54
313,Yar-Sale,RU,66.8333,70.8333,293.09,293.09,293.09,57,84,1.63
314,Roald,NO,62.5833,6.1333,284.93,286.67,282.18,87,100,4.12
315,Kintinku,TZ,-5.8833,35.2333,290.46,290.46,290.46,75,15,1.1
316,Faya,SA,18.3851,42.4509,289.44,290.21,289.44,74,78,2.01
317,Dzhebariki-Khaya,RU,62.2167,135.8,298.64,298.64,298.64,28,37,0.54
318,Banjar,ID,-8.19,114.9675,302.07,302.07,302.07,63,37,1.69
319,Sokoni,TZ,-6.4333,39.55,296.79,296.79,296.79,75,5,4.79
320,Cananéia,BR,-25.0147,-47.9267,289.7,289.7,289.7,92,93,2.6
321,Noumea,NC,-22.2763,166.4572,297.59,297.59,297.14,99,41,7.0
322,Jerantut,MY,3.936,102.3626,303.01,303.01,303.01,66,100,0.61
323,Port Lincoln,AU,-34.7333,135.8667,288.24,288.24,288.24,66,87,6.53
324,Hamilton,US,39.1834,-84.5333,293.36,294.83,290.82,75,90,0.0
325,Havøysund,NO,70.9963,24.6622,282.64,282.64,282.64,97,100,3.43
326,Tūkrah,LY,32.5341,20.5791,301.02,301.02,301.02,63,0,4.68
327,Melfort,CA,52.8667,-104.6177,292.22,292.22,290.57,77,87,0.51
328,Abu Kamal,SY,34.4506,40.9171,307.09,307.09,307.09,24,82,6.49
329,Katsuura,JP,35.1333,140.3,306.1,306.21,305.17,68,1,4.83
330,São Filipe,CV,14.8961,-24.4956,298.08,298.08,298.08,89,100,0.9
331,Boysun,UZ,38.2061,67.1986,300.37,300.37,300.37,22,4,1.54
332,Wanning,CN,18.8003,110.3967,304.42,304.42,304.42,66,100,4.45
333,Inta,RU,66.0317,60.1659,291.43,291.43,291.43,91,78,2.57
334,Sisimiut,GL,66.9395,-53.6735,281.74,281.74,281.74,84,100,2.85
335,Bilibino,RU,68.0546,166.4372,285.96,285.96,285.96,65,100,2.88
336,Sistranda,NO,63.7256,8.834,284.13,286.98,284.13,73,100,2.45
337,Poum,NC,-20.2333,164.0167,294.45,294.45,294.45,73,99,1.18
338,Lalibela,ET,12.0333,39.0333,286.37,286.37,286.37,88,100,2.1
339,Upernavik,GL,72.7868,-56.1549,280.58,280.58,280.58,70,3,1.32
340,Saskylakh,RU,71.9167,114.0833,292.51,292.51,292.51,29,21,6.44
341,Yanam,IN,16.7333,82.2167,302.37,302.37,302.37,65,100,4.56
342,Tagusao,PH,9.1924,117.8141,304.29,304.29,304.29,66,34,7.05
343,Cam Ranh,VN,11.9214,109.1591,306.13,306.13,306.13,55,40,4.63
344,Yekaterinogradskaya,RU,43.7635,44.2317,292.8,292.8,292.8,62,97,3.07
345,Toamasina,MG,-18.1667,49.3833,295.15,295.15,295.15,78,75,4.63
346,Villazón,BO,-22.0866,-65.5942,276.03,276.03,276.03,92,6,4.25
347,Moose Factory,CA,51.2585,-80.6094,296.14,296.15,296.14,64,20,4.12
348,Garissa,KE,-0.4536,39.6401,294.38,294.38,294.38,85,60,6.93
349,Dauphin,CA,51.1494,-100.0502,291.23,291.23,291.23,97,90,5.14
350,Srednekolymsk,RU,67.45,153.6833,281.55,281.55,281.55,74,100,3.16
351,Topolovgrad,BG,42.0833,26.3333,295.0,295.0,295.0,74,39,1.4
352,Quatre Cocos,MU,-20.2078,57.7625,290.98,293.21,290.98,68,97,7.69
353,Vincennes,FR,48.85,2.4333,289.21,290.31,287.21,88,0,1.03
354,San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,289.03,289.03,286.84,43,2,7.14
355,Erzin,TR,36.9559,36.2,300.55,300.55,297.44,75,0,0.74
356,Bonavista,CA,48.6499,-53.1147,287.15,289.33,287.15,74,100,3.11
357,Novokayakent,RU,42.3937,47.9861,301.18,301.18,301.18,49,35,1.36
358,Zimmi,SL,7.3153,-11.3061,295.4,295.4,295.4,98,99,0.41
359,Omīdīyeh,IR,30.7597,49.705,304.08,304.08,304.01,29,40,5.14
360,Acaraú,BR,-2.8856,-40.12,298.27,298.27,298.27,83,99,5.27
361,Akureyri,IS,65.6835,-18.0878,284.11,284.11,284.11,93,90,0.0
362,Ciawi,ID,-7.5117,107.9767,296.6,296.6,296.6,77,83,2.14
363,Enshi,CN,30.3,109.4833,305.15,305.15,305.15,61,5,0.64
364,Isangel,VU,-19.55,169.2667,300.21,300.21,300.21,57,40,1.03
365,Am Timan,TD,11.0297,20.2827,295.83,295.83,295.83,92,100,0.53
366,Zemio,CF,5.0314,25.1361,292.89,292.89,292.89,98,100,0.27
367,Pisco,PE,-13.7,-76.2167,290.18,290.18,289.27,88,90,2.06
368,Buala,SB,-8.145,159.5921,301.09,301.09,301.09,75,76,4.46
369,Ketchikan,US,55.3422,-131.6461,289.41,289.41,289.41,94,90,5.66
370,Departamento de Maldonado,UY,-34.6667,-54.9167,279.94,279.94,279.94,93,5,2.86
371,Ust-Nera,RU,64.5667,143.2,286.58,286.58,286.58,41,100,3.62
372,West Mifflin,US,40.3634,-79.8664,291.83,293.7,289.7,88,87,1.09
373,Leshukonskoye,RU,64.8989,45.7622,283.67,283.67,283.67,74,97,3.68
374,Ciudad Río Bravo,MX,25.9833,-98.1,302.27,303.75,300.17,61,84,6.35
375,Paka,MY,4.6374,103.4368,304.11,304.11,304.11,70,20,2.06
376,Lisa,RO,43.8,25.1333,292.21,292.21,292.21,41,6,1.99
377,Camaná,PE,-16.6228,-72.7111,290.9,290.9,290.9,80,45,2.94
378,Raudeberg,NO,61.9875,5.1352,284.62,286.04,284.19,78,100,4.71
379,Terebovlya,UA,49.3019,25.71,289.94,289.94,289.94,93,100,2.84
380,Waipawa,NZ,-41.4122,175.5153,283.77,284.5,283.32,75,99,2.87
381,Chernyshevskiy,RU,63.0128,112.4714,298.7,298.7,298.7,31,3,5.64
382,Rome,US,43.2128,-75.4557,289.55,293.09,287.25,86,1,0.0
383,Flinders,AU,-34.5833,150.8552,292.32,292.69,290.51,47,21,4.02
384,San Clemente,US,33.427,-117.612,294.32,303.93,291.4,83,31,0.45
385,Tuy Hoa,VN,13.0833,109.3,306.32,306.32,306.32,51,100,7.33
386,Mariehamn,AX,60.0973,19.9348,285.07,285.07,285.07,100,0,0.51
387,Sturgeon Bay,US,44.8342,-87.377,294.81,295.42,291.39,78,1,3.6
388,Kousséri,CM,12.0769,15.0306,298.93,298.93,298.93,78,100,2.64
389,Lloret de Mar,ES,41.6999,2.8457,291.55,295.32,288.88,100,56,1.79
390,Dolores,AR,-36.3132,-57.6792,280.64,280.64,280.64,85,0,3.34
391,Phillipsburg,US,40.6937,-75.1902,290.87,293.31,288.36,87,97,0.45
392,Hay River,CA,60.8156,-115.7999,286.14,286.14,286.13,76,75,3.6
393,San Patricio,US,28.017,-97.5169,301.54,302.5,300.47,74,95,3.03
394,Tsumeb,NA,-19.2333,17.7167,284.9,284.9,284.9,34,0,2.47
395,Deputatsky,RU,69.3,139.9,282.38,282.38,282.38,56,97,7.17
396,The Valley,AI,18.217,-63.0578,301.07,301.07,300.43,72,1,7.86
397,Kangaatsiaq,GL,68.3065,-53.4641,279.44,279.44,279.44,93,74,4.33
398,Ende,ID,-8.8432,121.6623,303.64,303.64,303.64,55,28,1.5
399,Erenhot,CN,43.6475,111.9767,295.99,295.99,295.99,39,36,3.76
400,Maniitsoq,GL,65.4167,-52.9,280.46,280.46,280.46,96,100,6.13
401,Ligayan,PH,4.6533,119.4706,302.53,302.53,302.53,72,92,4.73
402,Mount Isa,AU,-20.7333,139.5,293.02,293.02,293.02,21,45,7.2
403,Tiarei,PF,-17.5333,-149.3333,300.16,300.16,299.82,74,21,4.97
404,Grand Island,US,40.925,-98.342,295.23,297.12,292.93,67,75,7.72
405,Amparafaravola,MG,-17.5833,48.2167,287.87,287.87,287.87,90,94,3.87
406,Pitimbu,BR,-7.4706,-34.8086,294.48,294.48,294.48,88,54,4.66
407,Kumluca,TR,36.3703,30.2869,305.27,305.27,305.27,33,0,3.25
408,Olafsvik,IS,64.8945,-23.7142,285.54,285.54,285.54,84,94,1.57
409,Krasnyy Yar,RU,46.5331,48.3456,299.8,301.11,299.8,42,100,5.22
410,Borba,BR,-4.3878,-59.5939,299.57,299.57,299.57,58,70,0.52
411,Broken Hill,AU,-31.95,141.4333,287.42,287.42,287.42,52,1,5.49
412,Bambous Virieux,MU,-20.3428,57.7575,293.29,293.29,291.05,60,40,5.14
413,Peleduy,RU,59.6289,112.7406,295.27,295.27,295.27,53,98,2.47
414,Campechuela,CU,20.2342,-77.2789,299.54,299.54,299.54,77,97,0.68
415,Yafran,LY,32.0633,12.5286,301.4,301.4,301.4,19,0,5.89
416,Catuday,PH,16.2923,119.8062,301.01,301.01,301.01,83,94,11.03
417,Taoudenni,ML,22.6783,-3.9836,310.4,310.4,310.4,10,15,4.93
418,Tonantins,BR,-2.8731,-67.8022,297.52,297.52,297.52,67,63,0.97
419,Mimongo,GA,-1.6195,11.6068,291.97,291.97,291.97,99,74,0.98
420,Kefamenanu,ID,-9.4467,124.4781,302.32,302.32,302.32,50,53,6.42
421,Namatanai,PG,-3.6667,152.4333,302.57,302.57,302.57,70,66,1.83
422,Prince Rupert,CA,54.3161,-130.3201,288.84,289.2,287.98,94,90,5.66
423,Yuci,CN,37.6803,112.7319,303.01,303.01,303.01,37,0,2.0
424,Mujiayingzi,CN,42.1167,118.7833,299.4,299.4,299.4,45,11,6.96
425,Bone,DE,51.9669,12.1396,288.5,289.16,287.54,93,88,1.19
426,Kota Kinabalu,MY,5.9749,116.0724,305.14,305.14,303.64,62,20,3.6
427,Faanui,PF,-16.4833,-151.75,299.7,299.7,299.7,70,40,5.75
428,Porto Belo,BR,-27.1578,-48.5531,290.36,292.13,287.27,91,100,3.56
429,Sept-Îles,CA,50.2001,-66.3821,284.85,284.85,284.85,87,0,0.45
430,Saint-Joseph,RE,-21.3667,55.6167,290.48,291.36,286.54,78,46,6.85
431,Estelle,US,29.8458,-90.1067,300.21,302.15,295.39,64,40,2.06
432,Disna,BY,55.568,28.1971,286.07,286.07,286.07,99,100,2.78
433,Zhangye,CN,38.9342,100.4517,302.03,302.03,302.03,16,28,1.97
434,Genhe,CN,50.7833,121.5167,289.22,289.22,289.22,86,100,1.29
435,Garoowe,SO,8.4054,48.4845,296.57,296.57,296.57,68,28,11.19
436,Tilichiki,RU,60.4667,166.1,281.32,281.32,281.32,77,100,8.44
437,Pavlodar,KZ,52.3,76.95,295.04,295.04,295.04,60,0,5.0
438,Pangnirtung,CA,66.1451,-65.7125,278.7,278.7,278.7,98,100,1.52
439,Changying,CN,52.8733,123.3213,286.66,286.66,286.66,98,100,2.06
440,Telêmaco Borba,BR,-24.3239,-50.6156,282.13,282.13,282.13,95,48,1.54
441,Antsohihy,MG,-14.8796,47.9875,290.9,290.9,290.9,75,0,2.33
442,Myitkyina,MM,25.3833,97.4,300.12,300.12,300.12,85,93,1.08
443,Villarrica,PY,-25.75,-56.4333,290.05,290.05,290.05,53,100,1.52
444,Chase,CA,50.8165,-119.6857,299.98,304.01,297.64,37,5,1.4
445,Shirokiy,RU,49.758,129.523,297.08,297.08,297.08,82,100,3.83
446,Hobyo,SO,5.3505,48.5268,297.66,297.66,297.66,86,100,10.02
447,Qandala,SO,11.472,49.8728,304.56,304.56,304.56,49,38,3.76
448,Cherëmukhovo,RU,60.3484,59.9851,293.21,293.21,293.21,83,79,0.48
449,Sobolevo,RU,54.4299,31.8996,286.41,286.41,286.41,97,100,1.74
450,Erzincan Province,TR,39.75,39.5,291.76,291.76,291.76,68,0,1.54
451,Tafresh,IR,34.692,50.013,288.55,288.55,288.55,39,5,3.53
452,Bouillante,GP,16.1304,-61.7692,297.72,297.72,297.72,75,28,4.18
453,Vardø,NO,70.3705,31.1107,281.26,281.26,281.26,85,100,10.01
454,Kaniama,CD,-7.5667,24.1833,292.23,292.23,292.23,36,0,2.13
455,Tessalit,ML,20.1986,1.0114,306.25,306.25,306.25,31,31,3.82
456,Januária,BR,-15.4833,-44.3667,293.12,293.12,293.12,54,39,3.82
457,Guaraniaçu,BR,-25.1008,-52.8781,282.61,282.61,282.61,74,100,1.42
458,Seoul,KR,37.5683,126.9778,306.54,307.81,303.84,48,8,2.01
459,Paamiut,GL,61.994,-49.6678,279.85,279.85,279.85,95,100,2.26
460,Olinda,BR,-8.0089,-34.8553,293.0,293.0,293.0,100,75,3.6
461,Chaykovskiy,RU,56.7686,54.1148,290.82,290.82,290.82,93,60,3.13
462,Lipin Bor,RU,60.2622,37.9763,285.62,285.62,285.62,67,81,0.76
463,Korla,CN,41.7597,86.1469,304.78,304.78,304.78,19,9,2.69
464,Westport,US,41.1415,-73.3579,292.32,294.13,290.68,89,90,3.13
465,Balabac,PH,7.9868,117.0645,303.61,303.61,303.61,70,50,6.27
466,Saldanha,ZA,-33.0117,17.9442,285.23,285.23,285.23,93,22,2.01
467,Norsup,VU,-16.0667,167.3833,299.82,299.82,299.82,61,81,2.33
468,Corbélia,BR,-24.7989,-53.3067,287.47,287.47,287.47,66,100,2.73
469,Kincardine,GB,56.0667,-3.7167,287.74,289.02,285.9,86,100,1.59
470,Pundaguitan,PH,6.3711,126.1689,302.28,302.28,302.28,74,87,5.66
471,Molchanovo,RU,57.5817,83.7692,288.48,288.48,288.48,98,100,1.19
472,Kandry,RU,54.5667,54.1167,291.75,291.75,291.75,89,100,4.2
473,Umluj,SA,25.0213,37.2685,305.02,305.02,305.02,52,9,2.07
474,Asheville,US,35.6009,-82.554,291.48,293.1,289.98,87,41,0.62
475,St. Marys,US,30.7305,-81.5465,297.8,298.74,296.48,75,90,0.45
476,Kifrī,IQ,34.6959,44.9661,307.68,307.68,307.68,24,3,5.21
477,Ten'gushevo,RU,54.7686,42.7189,287.96,287.96,287.96,68,70,1.97
478,Vanavara,RU,60.34,102.2797,297.1,297.1,297.1,39,99,2.84
479,Purpe,RU,64.4803,76.6897,292.98,292.98,292.98,67,80,3.28
480,Stepantsevo,RU,56.1314,41.7032,288.13,288.13,288.13,62,90,1.14
481,Torbay,CA,47.6666,-52.7314,289.26,290.14,287.19,74,20,5.66
482,Novobiryusinskiy,RU,56.9578,97.7076,297.37,297.37,297.37,50,97,1.81
483,Beyneu,KZ,45.3167,55.2,306.36,306.36,306.36,18,5,3.81
484,Grootfontein,NA,-19.5667,18.1167,283.91,283.91,283.91,46,0,2.06
485,Comodoro Rivadavia,AR,-45.8667,-67.5,291.07,291.07,291.07,25,0,7.72
486,Mosquera,CO,4.7059,-74.2302,284.2,284.2,284.2,93,40,1.03
487,San Mateo del Mar,MX,16.2,-95.0,301.57,301.57,301.57,74,97,2.72
488,Yulara,AU,-25.2406,130.9889,289.06,289.06,289.06,31,0,5.66
489,El Dorado,US,38.7666,-120.5177,299.77,303.75,294.73,25,0,0.48
490,Grindavik,IS,63.8424,-22.4338,285.34,285.41,285.12,100,75,0.51
491,Zhezkazgan,KZ,47.8043,67.7144,300.6,300.6,300.6,35,6,1.84
492,Mobaye,CF,4.319,21.1786,293.66,293.66,293.66,96,64,0.45
493,Auki,SB,-8.7676,160.7034,300.98,300.98,300.98,70,44,2.56
494,Puerto Carreño,CO,6.189,-67.4859,295.68,295.68,295.68,92,100,2.14
495,Luruaco,CO,10.6092,-75.1431,300.94,301.06,300.94,85,97,2.22
496,Irbeyskoye,RU,55.6428,95.4522,294.55,294.55,294.55,75,98,3.2
497,Jiangkou,CN,25.4872,119.1986,301.09,301.09,301.09,94,100,2.79
498,Kahului,US,20.8947,-156.47,300.45,301.16,298.53,63,1,11.32
499,Kushmurun,KZ,52.4503,64.6311,298.46,298.46,298.46,42,75,2.22
500,Behbahān,IR,30.5959,50.2417,302.13,303.77,302.13,19,54,2.52
501,Wanaka,NZ,-44.7,169.15,280.99,280.99,280.99,93,100,0.45
502,Antofagasta,CL,-23.65,-70.4,286.75,286.75,286.75,66,25,1.3
503,Nioro,GM,13.35,-15.75,297.73,297.73,297.73,93,100,2.83
504,Gao,ML,16.6362,1.637,306.02,306.02,306.02,41,81,7.48
505,Santa Rosa,PH,14.3122,121.1114,305.55,305.98,300.99,66,81,7.97
506,Kenora,CA,49.8167,-94.4337,293.69,293.69,293.58,94,90,2.06
507,Igarka,RU,67.4667,86.5833,295.93,295.93,295.93,51,5,2.19
508,Qom,IR,34.6401,50.8764,301.16,301.16,301.16,27,6,3.46
509,Omsukchan,RU,62.5333,155.8,275.1,275.1,275.1,88,100,4.48
510,Huixtepec,MX,16.6536,-98.305,295.31,295.31,295.31,95,91,1.17
511,Pacific Grove,US,36.6177,-121.9166,288.35,294.61,286.76,89,75,0.89
512,Lang Son,VN,21.8333,106.7333,306.75,306.75,306.75,56,32,1.56
513,Livingstone,ZM,-17.8419,25.8543,284.53,284.53,284.53,46,0,1.31
514,Marawi,PH,7.9986,124.2928,302.4,302.4,302.4,52,99,2.0
515,Itoman,JP,26.1247,127.6694,300.89,301.36,299.58,92,75,4.63
516,Săsciori,RO,45.8667,23.5833,288.23,288.23,288.21,59,69,1.4
517,Chimay,BE,50.0486,4.3171,286.1,288.03,284.79,97,89,1.6
518,Ardahan,TR,41.1087,42.7022,285.74,285.74,285.74,70,29,0.79
519,Oktyabr'skoye,RU,43.0645,44.7417,293.09,293.09,293.09,70,22,2.37
520,Wagar,SD,16.1525,36.2032,298.12,298.12,298.12,75,93,7.0
521,Yakeshi,CN,49.2833,120.7333,290.06,290.06,290.06,84,90,4.9
522,Tuatapere,NZ,-46.1333,167.6833,283.01,283.01,283.01,61,100,0.93
523,Puerto Baquerizo Moreno,EC,-0.9,-89.6,294.17,294.17,294.17,79,14,5.21
524,Ahipara,NZ,-35.1667,173.1667,288.37,288.37,288.37,76,92,5.36
525,Atherton,GB,53.5237,-2.4935,287.14,288.1,285.58,93,100,0.89
526,Mombetsu,JP,44.3525,143.3525,302.16,302.16,302.16,74,75,4.63
527,Sauk Rapids,US,45.5919,-94.1661,294.91,296.24,293.35,65,1,0.45
528,Ashtian,IR,34.5217,50.0019,287.52,287.52,287.52,37,2,6.18
529,Carupano,VE,10.6678,-63.2585,297.82,297.82,297.82,88,7,2.38
530,Naze,JP,28.3667,129.4833,302.66,302.66,302.66,87,37,9.79
531,Vágur,FO,61.4732,-6.8119,285.0,285.0,285.0,93,99,5.11
532,Évreux,FR,49.0241,1.1508,288.25,288.74,286.85,88,90,1.54
533,Baghdad,IQ,33.3406,44.4009,302.1,302.1,302.1,37,0,2.57
534,Kharan,PK,28.5833,65.4167,304.87,304.87,304.87,12,53,3.6
535,Guymon,US,36.6828,-101.4816,294.13,294.15,292.3,64,90,2.57
536,Lagos,NG,6.5833,3.75,296.66,296.66,296.66,93,100,2.21
537,Port-Gentil,GA,-0.7193,8.7815,298.2,298.2,298.2,78,93,5.6
538,Istok,XK,42.7808,20.4875,291.66,291.66,291.66,52,15,0.7
539,Fort Saint James,CA,54.4333,-124.25,297.98,297.98,297.98,43,28,1.36
540,San Cristobal,VE,7.7669,-72.225,297.25,297.25,297.25,97,91,1.93
541,Gloucester,GB,51.8657,-2.2431,286.5,288.2,284.69,82,99,3.58
542,Mercedes,AR,-34.6515,-59.4307,281.57,283.51,279.18,90,0,3.47
543,Vila Velha,BR,-20.3297,-40.2925,293.12,293.12,287.01,83,40,5.14
544,Farīdpur,BD,23.6,89.8333,303.15,303.15,303.15,75,45,2.61
545,Medvedok,RU,57.3891,50.0351,288.68,288.68,288.68,89,0,2.2
546,Hanna,CA,51.6334,-111.9018,292.93,294.95,291.26,39,14,3.04
547,Birr,IE,53.0914,-7.9133,287.27,287.85,287.01,94,100,6.04
548,Porto-Novo,BJ,6.4965,2.6036,297.45,297.45,297.45,87,100,3.23
549,Savonlinna,FI,61.8699,28.88,281.18,283.73,281.18,100,0,0.51
550,Luwuk,ID,-0.9516,122.7875,302.59,302.59,302.59,70,89,2.52
551,Kambar,PK,27.5868,68.001,306.12,306.12,306.12,49,1,3.34
552,Sapa,PH,5.1544,120.3241,303.27,303.27,303.27,70,46,3.95
553,Khudumelapye,BW,-23.8833,24.75,283.67,283.67,283.67,45,0,3.33
554,Inhambane,MZ,-23.865,35.3833,289.78,289.78,289.78,78,0,1.99
555,Moerai,PF,-22.4333,-151.3333,296.89,296.89,296.89,74,1,5.3
556,Santa Cruz de la Sierra,BO,-17.8,-63.1667,290.85,290.85,290.85,48,75,3.09
557,Pyapon,MM,16.2833,95.6833,302.45,302.45,302.45,77,87,6.77
